match_id,puuid,game_start_timestamp,game_end_timestamp,game_duration_sec,win,champion_played,kills,deaths,assists,rank,game_end_datetime
EUW1_7825225147,0F-wECuaUDCdvjqMywTZkQKJGKF0UpmJPQtyDCYtLvt9FvYP2dhQhyUG23R0y8kNyry6GqYA2DuEBw,1776546910020,1776549117389,2207,False,Kayn,7,12,11,GOLD IV,2026-04-18 21:51:57.389
EUW1_7825084672,0F-wECuaUDCdvjqMywTZkQKJGKF0UpmJPQtyDCYtLvt9FvYP2dhQhyUG23R0y8kNyry6GqYA2DuEBw,1776541202021,1776543893390,2691,False,Jhin,8,13,7,GOLD IV,2026-04-18 20:24:53.390
EUW1_7824973650,0F-wECuaUDCdvjqMywTZkQKJGKF0UpmJPQtyDCYtLvt9FvYP2dhQhyUG23R0y8kNyry6GqYA2DuEBw,1776536575029,1776538602397,2027,True,Mel,16,6,8,GOLD IV,2026-04-18 18:56:42.397
EUW1_7824925234,0F-wECuaUDCdvjqMywTZkQKJGKF0UpmJPQtyDCYtLvt9FvYP2dhQhyUG23R0y8kNyry6GqYA2DuEBw,1776534595213,1776536290683,1695,False,Xayah,3,12,1,GOLD IV,2026-04-18 18:18:10.683
EUW1_7824821405,0F-wECuaUDCdvjqMywTZkQKJGKF0UpmJPQtyDCYtLvt9FvYP2dhQhyUG23R0y8kNyry6GqYA2DuEBw,1776529698053,1776531527642,1829,False,Jhin,6,8,6,GOLD IV,2026-04-18 16:58:47.642
EUW1_7824757814,0F-wECuaUDCdvjqMywTZkQKJGKF0UpmJPQtyDCYtLvt9FvYP2dhQhyUG23R0y8kNyry6GqYA2DuEBw,1776526261326,1776527734815,1473,False,Samira,5,8,5,GOLD IV,2026-04-18 15:55:34.815
EUW1_7824513294,0F-wECuaUDCdvjqMywTZkQKJGKF0UpmJPQtyDCYtLvt9FvYP2dhQhyUG23R0y8kNyry6GqYA2DuEBw,1776513503823,1776515634637,2131,False,Caitlyn,6,12,5,GOLD IV,2026-04-18 12:33:54.637
EUW1_7824423621,0F-wECuaUDCdvjqMywTZkQKJGKF0UpmJPQtyDCYtLvt9FvYP2dhQhyUG23R0y8kNyry6GqYA2DuEBw,1776506973399,1776509230174,2257,False,Mel,11,14,6,GOLD IV,2026-04-18 10:47:10.174
EUW1_7824150785,0F-wECuaUDCdvjqMywTZkQKJGKF0UpmJPQtyDCYtLvt9FvYP2dhQhyUG23R0y8kNyry6GqYA2DuEBw,1776466460134,1776468152692,1692,False,Samira,8,12,2,GOLD IV,2026-04-17 23:22:32.692
EUW1_7824144713,0F-wECuaUDCdvjqMywTZkQKJGKF0UpmJPQtyDCYtLvt9FvYP2dhQhyUG23R0y8kNyry6GqYA2DuEBw,1776466004580,1776466151142,146,True,Lucian,0,0,0,GOLD IV,2026-04-17 22:49:11.142
EUW1_7823969164,0F-wECuaUDCdvjqMywTZkQKJGKF0UpmJPQtyDCYtLvt9FvYP2dhQhyUG23R0y8kNyry6GqYA2DuEBw,1776458988227,1776461529816,2541,True,Jinx,6,15,13,GOLD IV,2026-04-17 21:32:09.816
EUW1_7823924135,0F-wECuaUDCdvjqMywTZkQKJGKF0UpmJPQtyDCYtLvt9FvYP2dhQhyUG23R0y8kNyry6GqYA2DuEBw,1776457154371,1776458290936,1136,True,Fizz,5,1,3,GOLD IV,2026-04-17 20:38:10.936
EUW1_7823748057,0F-wECuaUDCdvjqMywTZkQKJGKF0UpmJPQtyDCYtLvt9FvYP2dhQhyUG23R0y8kNyry6GqYA2DuEBw,1776450189448,1776452096334,1907,True,MissFortune,23,4,9,GOLD IV,2026-04-17 18:54:56.334
EUW1_7823434019,0F-wECuaUDCdvjqMywTZkQKJGKF0UpmJPQtyDCYtLvt9FvYP2dhQhyUG23R0y8kNyry6GqYA2DuEBw,1776433820401,1776435698744,1878,True,Smolder,8,5,12,GOLD IV,2026-04-17 14:21:38.744
EUW1_7823334267,0F-wECuaUDCdvjqMywTZkQKJGKF0UpmJPQtyDCYtLvt9FvYP2dhQhyUG23R0y8kNyry6GqYA2DuEBw,1776427307976,1776429458313,2150,False,Caitlyn,27,9,10,GOLD IV,2026-04-17 12:37:38.313
EUW1_7822954605,0F-wECuaUDCdvjqMywTZkQKJGKF0UpmJPQtyDCYtLvt9FvYP2dhQhyUG23R0y8kNyry6GqYA2DuEBw,1776375477059,1776376920355,1443,True,Fizz,16,3,9,GOLD IV,2026-04-16 22:02:00.355
EUW1_7822827772,0F-wECuaUDCdvjqMywTZkQKJGKF0UpmJPQtyDCYtLvt9FvYP2dhQhyUG23R0y8kNyry6GqYA2DuEBw,1776370567424,1776371795261,1228,True,Caitlyn,14,5,7,GOLD IV,2026-04-16 20:36:35.261
EUW1_7822761840,0F-wECuaUDCdvjqMywTZkQKJGKF0UpmJPQtyDCYtLvt9FvYP2dhQhyUG23R0y8kNyry6GqYA2DuEBw,1776368251345,1776370339800,2088,True,Ziggs,5,4,3,GOLD IV,2026-04-16 20:12:19.800
EUW1_7822583180,0F-wECuaUDCdvjqMywTZkQKJGKF0UpmJPQtyDCYtLvt9FvYP2dhQhyUG23R0y8kNyry6GqYA2DuEBw,1776361238675,1776363115447,1877,False,Varus,4,12,9,GOLD IV,2026-04-16 18:11:55.447
EUW1_7822253263,0F-wECuaUDCdvjqMywTZkQKJGKF0UpmJPQtyDCYtLvt9FvYP2dhQhyUG23R0y8kNyry6GqYA2DuEBw,1776344601071,1776346655053,2054,False,Tristana,13,8,3,GOLD IV,2026-04-16 13:37:35.053
EUW1_7822224785,0F-wECuaUDCdvjqMywTZkQKJGKF0UpmJPQtyDCYtLvt9FvYP2dhQhyUG23R0y8kNyry6GqYA2DuEBw,1776342222631,1776343688568,1466,False,Jinx,1,10,6,GOLD IV,2026-04-16 12:48:08.568
EUW1_7822194064,0F-wECuaUDCdvjqMywTZkQKJGKF0UpmJPQtyDCYtLvt9FvYP2dhQhyUG23R0y8kNyry6GqYA2DuEBw,1776339936960,1776341813503,1876,True,Mel,14,4,1,GOLD IV,2026-04-16 12:16:53.503
EUW1_7822123175,0F-wECuaUDCdvjqMywTZkQKJGKF0UpmJPQtyDCYtLvt9FvYP2dhQhyUG23R0y8kNyry6GqYA2DuEBw,1776333835114,1776335721854,1887,False,Jhin,13,5,4,GOLD IV,2026-04-16 10:35:21.854
EUW1_7822062499,0F-wECuaUDCdvjqMywTZkQKJGKF0UpmJPQtyDCYtLvt9FvYP2dhQhyUG23R0y8kNyry6GqYA2DuEBw,1776326004919,1776328469550,2465,False,Samira,11,16,7,GOLD IV,2026-04-16 08:34:29.550
EUW1_7821855924,0F-wECuaUDCdvjqMywTZkQKJGKF0UpmJPQtyDCYtLvt9FvYP2dhQhyUG23R0y8kNyry6GqYA2DuEBw,1776290391722,1776292157779,1766,False,Jhin,9,11,9,GOLD IV,2026-04-15 22:29:17.779
EUW1_7821752816,0F-wECuaUDCdvjqMywTZkQKJGKF0UpmJPQtyDCYtLvt9FvYP2dhQhyUG23R0y8kNyry6GqYA2DuEBw,1776285862330,1776288291093,2429,True,Caitlyn,10,12,5,GOLD IV,2026-04-15 21:24:51.093
EUW1_7821650381,0F-wECuaUDCdvjqMywTZkQKJGKF0UpmJPQtyDCYtLvt9FvYP2dhQhyUG23R0y8kNyry6GqYA2DuEBw,1776282122068,1776283825780,1704,False,Varus,7,10,5,GOLD IV,2026-04-15 20:10:25.780
EUW1_7821585060,0F-wECuaUDCdvjqMywTZkQKJGKF0UpmJPQtyDCYtLvt9FvYP2dhQhyUG23R0y8kNyry6GqYA2DuEBw,1776279530240,1776281614966,2085,True,Caitlyn,9,8,9,GOLD IV,2026-04-15 19:33:34.966
EUW1_7821468735,0F-wECuaUDCdvjqMywTZkQKJGKF0UpmJPQtyDCYtLvt9FvYP2dhQhyUG23R0y8kNyry6GqYA2DuEBw,1776274435337,1776276193508,1758,True,Caitlyn,9,9,8,GOLD IV,2026-04-15 18:03:13.508
EUW1_7818335115,0F-wECuaUDCdvjqMywTZkQKJGKF0UpmJPQtyDCYtLvt9FvYP2dhQhyUG23R0y8kNyry6GqYA2DuEBw,1776006594662,1776008322613,1728,False,Jhin,1,6,5,GOLD IV,2026-04-12 15:38:42.613
EUW1_7818159308,0F-wECuaUDCdvjqMywTZkQKJGKF0UpmJPQtyDCYtLvt9FvYP2dhQhyUG23R0y8kNyry6GqYA2DuEBw,1775997965791,1775999343149,1377,False,Kaisa,4,3,1,GOLD IV,2026-04-12 13:09:03.149
EUW1_7818076558,0F-wECuaUDCdvjqMywTZkQKJGKF0UpmJPQtyDCYtLvt9FvYP2dhQhyUG23R0y8kNyry6GqYA2DuEBw,1775992724169,1775994822516,2098,False,Malphite,2,5,7,GOLD IV,2026-04-12 11:53:42.516
EUW1_7817734821,0F-wECuaUDCdvjqMywTZkQKJGKF0UpmJPQtyDCYtLvt9FvYP2dhQhyUG23R0y8kNyry6GqYA2DuEBw,1775946289096,1775948287836,1999,True,Samira,28,8,7,GOLD IV,2026-04-11 22:58:07.836
EUW1_7817546201,0F-wECuaUDCdvjqMywTZkQKJGKF0UpmJPQtyDCYtLvt9FvYP2dhQhyUG23R0y8kNyry6GqYA2DuEBw,1775938237572,1775940336511,2099,False,Ashe,7,16,17,GOLD IV,2026-04-11 20:45:36.511
EUW1_7817511930,0F-wECuaUDCdvjqMywTZkQKJGKF0UpmJPQtyDCYtLvt9FvYP2dhQhyUG23R0y8kNyry6GqYA2DuEBw,1775936566310,1775937963102,1397,True,MissFortune,4,4,9,GOLD IV,2026-04-11 20:06:03.102
EUW1_7817378117,0F-wECuaUDCdvjqMywTZkQKJGKF0UpmJPQtyDCYtLvt9FvYP2dhQhyUG23R0y8kNyry6GqYA2DuEBw,1775930328621,1775933045813,2717,True,JarvanIV,19,12,22,GOLD IV,2026-04-11 18:44:05.813
EUW1_7817254411,0F-wECuaUDCdvjqMywTZkQKJGKF0UpmJPQtyDCYtLvt9FvYP2dhQhyUG23R0y8kNyry6GqYA2DuEBw,1775923722528,1775925905036,2187,False,Volibear,7,9,8,GOLD IV,2026-04-11 16:45:05.036
EUW1_7817097975,0F-wECuaUDCdvjqMywTZkQKJGKF0UpmJPQtyDCYtLvt9FvYP2dhQhyUG23R0y8kNyry6GqYA2DuEBw,1775914796373,1775916610082,1814,False,Kayn,10,6,4,GOLD IV,2026-04-11 14:10:10.082
EUW1_7817062482,0F-wECuaUDCdvjqMywTZkQKJGKF0UpmJPQtyDCYtLvt9FvYP2dhQhyUG23R0y8kNyry6GqYA2DuEBw,1775912398701,1775914022308,1623,False,Viego,4,7,2,GOLD IV,2026-04-11 13:27:02.308
EUW1_7816937138,0F-wECuaUDCdvjqMywTZkQKJGKF0UpmJPQtyDCYtLvt9FvYP2dhQhyUG23R0y8kNyry6GqYA2DuEBw,1775903864485,1775905650868,1787,False,Mordekaiser,7,10,4,GOLD IV,2026-04-11 11:07:30.868
EUW1_7816922142,0F-wECuaUDCdvjqMywTZkQKJGKF0UpmJPQtyDCYtLvt9FvYP2dhQhyUG23R0y8kNyry6GqYA2DuEBw,1775902651912,1775903598909,947,False,Amumu,3,4,2,GOLD IV,2026-04-11 10:33:18.909
EUW1_7816877804,0F-wECuaUDCdvjqMywTZkQKJGKF0UpmJPQtyDCYtLvt9FvYP2dhQhyUG23R0y8kNyry6GqYA2DuEBw,1775898010949,1775900271266,2260,True,Shyvana,9,7,14,GOLD IV,2026-04-11 09:37:51.266
EUW1_7816856489,0F-wECuaUDCdvjqMywTZkQKJGKF0UpmJPQtyDCYtLvt9FvYP2dhQhyUG23R0y8kNyry6GqYA2DuEBw,1775894873642,1775897343940,2470,False,Fizz,9,13,8,GOLD IV,2026-04-11 08:49:03.940
